WKT,name,description,latitudine,longitudine
"POLYGON ((9.070257 45.425984, 9.070351 45.426024, 9.070262 45.426129, 9.070171 45.426093, 9.070257 45.425984))",Deutsche Bank Trezzano,,45.425984,9.070257
POINT (9.089012 45.440604 0.0),Dpiù's Cesano,,45.440604,9.089012
"POLYGON ((9.08875 45.440055, 9.088781 45.440015, 9.089146 45.440164, 9.0893 45.439979, 9.089602 45.4401, 9.089398 45.440329, 9.089591 45.440409, 9.089335 45.440703, 9.089205 45.440654, 9.089232 45.440618, 9.088766 45.440427, 9.088839 45.440348, 9.088486 45.440204, 9.088524 45.440151, 9.088706 45.440223, 9.088787 45.440127, 9.088718 45.440099, 9.08875 45.440055))",Dpiù Cesano,,45.440055,9.08875
POINT (9.206609 45.479439 0.0),Fontana Lima,,45.479439,9.206609
"POLYGON ((9.206491 45.47941, 9.206374 45.479289, 9.206401 45.479225, 9.206507 45.479229, 9.206624 45.479345, 9.206596 45.479412, 9.206491 45.47941))",Fontana Lima,,45.47941,9.206491
POINT (9.1303285 45.5461989),Giusti dell'Umanità,,45.5461989,9.1303285
"POLYGON ((9.129726 45.546221, 9.12976 45.546191, 9.129766 45.546158, 9.129751 45.546133, 9.130094 45.546054, 9.130136 45.545813, 9.130109 45.545803, 9.13012 45.54574, 9.130192 45.54572, 9.13025 45.545756, 9.130244 45.545787, 9.130216 45.5458, 9.130159 45.54611, 9.130261 45.546119, 9.130301 45.546151, 9.130316 45.546185, 9.130304 45.546244, 9.130282 45.546273, 9.13023 45.546296, 9.130153 45.546297, 9.130134 45.546295, 9.130093 45.546583, 9.130118 45.546622, 9.130106 45.546654, 9.130062 45.546676, 9.130014 45.546677, 9.129971 45.546661, 9.129952 45.546618, 9.129967 45.546587, 9.129994 45.546572, 9.130033 45.546346, 9.129726 45.546221))",Giusti dell'Umanità,,45.546221,9.129726
POINT (9.1901425 45.4844195),Gradoni Gae Aulenti,,45.4844195,9.1901425
,,,,
"POLYGON ((9.1899682 45.4844288, 9.1900527 45.4844025, 9.1900433 45.4843038, 9.1900218 45.4842549, 9.1901975 45.4842803, 9.1902914 45.4843959, 9.1902565 45.4844504, 9.1901559 45.484567, 9.1900232 45.4845652, 9.1899682 45.4844288))",Gradoni Gae Aulenti,,45.4844288,9.1899682
POINT (9.191326 45.487531 0.0),Isola,,45.487531,9.191326
